0000000001 01 transactions clearing E                           
0000000002 02 20260226COB  09:00:18TN0001000108MONOPRIX          000025700000024TUN VAL   00100000007UNION CAP 0010000000050000000067000000000000335002884445         50651                                                                              
0000002018 02 20260226COB  12:05:19TN0007610017SAH               000742500000024TUN VAL   00100000039BH INVEST 0010000002200000000143000000000031460002885392         402175                                                                             
0000002019 02 20260226COB  09:00:09TN0007610017SAH               000051300000035ATTIJARI I00100000039BH INVEST 009000000114000000014340000000001634760C024748         402063                                                                             
0000002020 02 20260226COB  09:00:09TN0007610017SAH               000102500000035ATTIJARI I00100000039BH INVEST 001000000017000000014340000000000243780C022957         402062                                                                             
0000002021 02 20260226COB  09:00:09TN0007610017SAH               000076900000035ATTIJARI I00100000039BH INVEST 009000000191000000014340000000002738940C022957         402063                                                                             
0000002022 02 20260226COB  09:00:09TN0007610017SAH               000153700000035ATTIJARI I00100000039BH INVEST 001000000052000000014340000000000745680C022957         402064                                                                             
0000002023 02 20260226COB  11:45:28TN0007610033SAH DA 1/20 050914000025700000024TUN VAL   00100000024TUN VAL   0010000000170000000011000000000000187002885304         6642371                                                                            
0000002024 02 20260226COB  12:05:21TN0007620016MPBS              001536100000024TUN VAL   00100000002TSI       0010000000500000000083600000000004180002885394         OR26-0003604                                                                       
0000002025 02 20260226COB  12:14:55TN0007620016MPBS              001561700000024TUN VAL   00100000002TSI       0010000000010000000083600000000000083602885452         OR26-0003604                                                                       
0000002026 02 20260226COB  11:51:38TN0007620016MPBS              001433700000027MAXULA    00100000002TSI       001000000399000000008360000000003335640O000966504      OR26-0003604                                                                       
0000002027 02 20260226COB  11:56:10TN0007620016MPBS              001459300000048BMCE      00100000002TSI       001000000081000000008360000000000677160OR18-0292997    OR26-0003604                                                                       
0000002028 02 20260226COB  11:51:38TN0007620016MPBS              001356900000027MAXULA    00100000018MAC       001000000059000000008350000000000492650O000966504      3549                                                                               
0000002029 02 20260226COB  10:57:52TN0007620016MPBS              001075300000048BMCE      00100000018MAC       001000000041000000008350000000000342350OR18-0292965    3549                                                                               
0000002030 02 20260226COB  11:49:27TN0007620016MPBS              001228900000024TUN VAL   00100000022STB FIN   0010000001000000000083400000000008340002885322         59769                                                                              
0000002031 02 20260226COB  11:49:27TN0007620016MPBS              001280100000024TUN VAL   00100000022STB FIN   0010000001010000000083400000000008423402885322         59769                                                                              
0000002032 02 20260226COB  11:19:17TN0007620016MPBS              001126500000048BMCE      00100000022STB FIN   001000000100000000008340000000000834000OR18-0292977    59769                                                                              
0000002033 02 20260226COB  11:19:17TN0007620016MPBS              001152100000048BMCE      00100000022STB FIN   001000000349000000008340000000002910660OR18-0292977    59769                                                                              
0000002034 02 20260226COB  11:20:23TN0007620016MPBS              001177700000048BMCE      00100000022STB FIN   001000000100000000008340000000000834000OR18-0292978    59769                                                                              
0000002035 02 20260226COB  11:20:23TN0007620016MPBS              001203300000048BMCE      00100000022STB FIN   001000000250000000008340000000002085000OR18-0292978    59769                                                                              
0000002036 02 20260226COB  09:00:26TN0007620016MPBS              000051300000015AMEN INV  00900000024TUN VAL   001000000070000000008140000000000569800768113          6642281                                                                            
0000002037 02 20260226COB  09:21:03TN0007620016MPBS              000076900000015AMEN INV  00900000024TUN VAL   001000000105000000008140000000000854700768113          6642403                                                                            
0000002038 02 20260226COB  09:22:34TN0007620016MPBS              000102500000015AMEN INV  00900000024TUN VAL   001000000025000000008140000000000203500768113          6642409                                                                            
0000002039 02 20260226COB  10:10:50TN0007620016MPBS              000691300000024TUN VAL   00100000024TUN VAL   0010000000370000000082400000000003048802884990         6640384                                                                            
0000002040 02 20260226COB  10:50:50TN0007620016MPBS              000844900000024TUN VAL   00100000024TUN VAL   0010000000010000000082400000000000082402885125         6640384                                                                            
0000002041 02 20260226COB  10:51:06TN0007620016MPBS              000870500000024TUN VAL   00100000024TUN VAL   0010000000570000000082400000000004696802885127         6640384                                                                            
0000002042 02 20260226COB  10:57:04TN0007620016MPBS              000896100000024TUN VAL   00100000024TUN VAL   0010000001000000000082400000000008240002885142         6640384                                                                            
0000002043 02 20260226COB  10:57:04TN0007620016MPBS              000921700000024TUN VAL   00100000024TUN VAL   0010000000500000000082400000000004120002885142         6640384                                                                            
0000002044 02 20260226COB  10:10:50TN0007620016MPBS              000640100000024TUN VAL   00100000024TUN VAL   0010000000130000000082400000000001071202884990         6640901                                                                            
0000002045 02 20260226COB  09:00:26TN0007620016MPBS              000025700000024TUN VAL   00100000024TUN VAL   0010000000800000000081400000000006512002884499         6642281                                                                            
0000002046 02 20260226COB  09:22:34TN0007620016MPBS              000153700000024TUN VAL   01300000024TUN VAL   0010000015000000000080200000000120300002884638         6642409                                                                            
0000002047 02 20260226COB  09:22:34TN0007620016MPBS              000179300000024TUN VAL   01300000024TUN VAL   0010000084350000000080200000000676487002884638         6642409                                                                            
0000002048 02 20260226COB  09:30:22TN0007620016MPBS              000230500000024TUN VAL   01300000024TUN VAL   0010000002500000000080200000000020050002884638         6642444                                                                            
0000002049 02 20260226COB  09:30:22TN0007620016MPBS              000332900000024TUN VAL   01300000024TUN VAL   0010000000410000000080200000000003288202884638         6642444                                                                            
0000002050 02 20260226COB  09:30:22TN0007620016MPBS              000256100000024TUN VAL   00100000024TUN VAL   0010000000500000000080200000000004010002884781         6642444                                                                            
0000002051 02 20260226COB  09:30:22TN0007620016MPBS              000281700000024TUN VAL   00100000024TUN VAL   0010000000100000000080200000000000802002884784         6642444                                                                            
0000002052 02 20260226COB  09:30:22TN0007620016MPBS              000307300000024TUN VAL   00100000024TUN VAL   0010000001000000000080200000000008020002884791         6642444                                                                            
0000002053 02 20260226COB  10:49:17TN0007620016MPBS              000819300000024TUN VAL   00100000024TUN VAL   0010000001350000000082000000000011070002885115         6642649                                                                            
0000002054 02 20260226COB  11:49:27TN0007620016MPBS              001254500000024TUN VAL   00100000024TUN VAL   0010000001190000000083400000000009924602885322         6642752                                                                            
0000002055 02 20260226COB  11:49:27TN0007620016MPBS              001305700000024TUN VAL   00100000024TUN VAL   0010000000710000000083400000000005921402885322         6642752                                                                            
0000002056 02 20260226COB  11:50:56TN0007620016MPBS              001331300000024TUN VAL   00100000024TUN VAL   0010000003030000000083400000000025270202885322         6642816                                                                            
0000002057 02 20260226COB  11:56:18TN0007620016MPBS              001510500000024TUN VAL   00100000024TUN VAL   0010000000030000000083400000000000250202885322         6642832                                                                            
0000002058 02 20260226COB  11:51:38TN0007620016MPBS              001382500000027MAXULA    00100000024TUN VAL   001000000025000000008350000000000208750O000966504      6642740                                                                            
0000002059 02 20260226COB  11:51:38TN0007620016MPBS              001408100000027MAXULA    00100000024TUN VAL   001000000017000000008350000000000141950O000966504      6642759                                                                            
0000002060 02 20260226COB  10:37:24TN0007620016MPBS              000793700000028MCP       00100000024TUN VAL   0010000000050000000082400000000000412002722            6640384                                                                            
0000002061 02 20260226COB  09:22:34TN0007620016MPBS              000128100000039BH INVEST 00100000024TUN VAL   001000000040000000008020000000000320800402049          6642409                                                                            
0000002062 02 20260226COB  10:57:52TN0007620016MPBS              000947300000048BMCE      00100000024TUN VAL   001000000050000000008240000000000412000OR18-0292965    6640384                                                                            
0000002063 02 20260226COB  10:57:52TN0007620016MPBS              000972900000048BMCE      00100000024TUN VAL   001000000005000000008320000000000041600OR18-0292965    6642562                                                                            
0000002064 02 20260226COB  10:57:52TN0007620016MPBS              001024100000048BMCE      00100000024TUN VAL   001000000028000000008340000000000233520OR18-0292965    6642634                                                                            
0000002065 02 20260226COB  10:57:52TN0007620016MPBS              000998500000048BMCE      00100000024TUN VAL   001000000015000000008330000000000124950OR18-0292965    6642636                                                                            
0000002066 02 20260226COB  10:57:52TN0007620016MPBS              001049700000048BMCE      00100000024TUN VAL   001000000011000000008340000000000091740OR18-0292965    6642638                                                                            
0000002067 02 20260226COB  11:19:17TN0007620016MPBS              001100900000048BMCE      00100000024TUN VAL   001000000501000000008330000000004173330OR18-0292977    6642720                                                                            
0000002068 02 20260226COB  11:56:10TN0007620016MPBS              001484900000048BMCE      00100000024TUN VAL   001000000019000000008360000000000158840OR18-0292997    6642748                                                                            
0000002069 02 20260226COB  10:18:59TN0007620016MPBS              000716900000014BNAC      00100000028MCP       001000000150000000008200000000001230000162073          2131                                                                               
0000002070 02 20260226COB  10:18:59TN0007620016MPBS              000742500000014BNAC      00100000028MCP       001000000100000000008200000000000820000162073          2131                                                                               
0000002071 02 20260226COB  10:19:21TN0007620016MPBS              000768100000014BNAC      00100000028MCP       001000000060000000008200000000000492000162073          2131                                                                               
0000002072 02 20260226COB  10:10:50TN0007620016MPBS              000665700000024TUN VAL   00100000028MCP       0010000002500000000082400000000020600002884990         2131                                                                               
0000002073 02 20260226COB  09:32:16TN0007620016MPBS              000537700000015AMEN INV  00900000048BMCE      001000000200000000008020000000001604000768203          OR18-0292871                                                                       
0000002074 02 20260226COB  09:32:16TN0007620016MPBS              000563300000015AMEN INV  00900000048BMCE      001000000400000000008020000000003208000768203          OR18-0292871                                                                       
0000002075 02 20260226COB  09:27:57TN0007620016MPBS              000204900000024TUN VAL   01300000048BMCE      0010000012500000000080200000000100250002884638         OR18-0292867                                                                       
0000002076 02 20260226COB  09:31:19TN0007620016MPBS              000384100000024TUN VAL   01300000048BMCE      0010000015000000000080200000000120300002884638         OR18-0292871                                                                       
0000002077 02 20260226COB  09:31:19TN0007620016MPBS              000435300000024TUN VAL   01300000048BMCE      0010000020240000000080200000000162324802884638         OR18-0292871                                                                       
0000002078 02 20260226COB  09:31:19TN0007620016MPBS              000409700000024TUN VAL   00100000048BMCE      0010000010000000000080200000000080200002884822         OR18-0292871                                                                       
0000002079 02 20260226COB  09:31:19TN0007620016MPBS              000358500000024TUN VAL   00100000048BMCE      0010000020000000000080300000000160600002884828         OR18-0292871                                                                       
0000002080 02 20260226COB  09:31:48TN0007620016MPBS              000460900000024TUN VAL   00100000048BMCE      0010000010000000000080200000000080200002884831         OR18-0292871                                                                       
0000002081 02 20260226COB  09:31:48TN0007620016MPBS              000486500000024TUN VAL   00100000048BMCE      0010000010000000000080200000000080200002884831         OR18-0292871                                                                       
0000002082 02 20260226COB  09:32:30TN0007620016MPBS              000614500000024TUN VAL   00100000048BMCE      0010000000750000000080200000000006015002884833         OR18-0292871                                                                       
0000002083 02 20260226COB  09:32:20TN0007620016MPBS              000588900000039BH INVEST 00100000048BMCE      001000000001000000008020000000000008020402088          OR18-0292871                                                                       
0000002084 02 20260226COB  09:31:56TN0007620016MPBS              000512100000048BMCE      01300000048BMCE      001000000800000000008020000000006416000OR18-0292874    OR18-0292871                                                                       
0000002085 02 20260226COB  11:31:33TN0007630015SOTIPAPIER        000768100000015AMEN INV  00100000022STB FIN   001000000054000000002580000000000139320768437          59553                                                                              
0000002086 02 20260226COB  11:30:51TN0007630015SOTIPAPIER        000742500000024TUN VAL   00100000022STB FIN   0010000003330000000025800000000008591402884484         59553                                                                              
0000002087 02 20260226COB  10:20:20TN0007630015SOTIPAPIER        000281700000015AMEN INV  00100000024TUN VAL   001000000030000000002600000000000078000768303          6642486                                                                            
0000002088 02 20260226COB  10:47:18TN0007630015SOTIPAPIER        000435300000015AMEN INV  00100000024TUN VAL   001000000017000000002600000000000044200768364          6642486                                                                            
0000002089 02 20260226COB  10:47:18TN0007630015SOTIPAPIER        000460900000015AMEN INV  00100000024TUN VAL   001000000003000000002600000000000007800768364          6642486                                                                            
0000002090 02 20260226COB  11:04:14TN0007630015SOTIPAPIER        000537700000015AMEN INV  00100000024TUN VAL   001000000450000000002600000000001170000768386          6642486                                                                            
0000002091 02 20260226COB  11:05:21TN0007630015SOTIPAPIER        000614500000015AMEN INV  00100000024TUN VAL   001000000475000000002600000000001235000768390          6642486                                                                            
0000002092 02 20260226COB  11:06:53TN0007630015SOTIPAPIER        000640100000015AMEN INV  00100000024TUN VAL   001000000185000000002600000000000481000768393          6642486                                                                            
0000002093 02 20260226COB  11:28:13TN0007630015SOTIPAPIER        000691300000015AMEN INV  00100000024TUN VAL   001000000180000000002600000000000468000768435          6642486                                                                            
0000002094 02 20260226COB  11:31:33TN0007630015SOTIPAPIER        000793700000015AMEN INV  00100000024TUN VAL   001000000063000000002600000000000163800768437          6642486                                                                            
0000002095 02 20260226COB  11:31:33TN0007630015SOTIPAPIER        000819300000015AMEN INV  00100000024TUN VAL   001000000003000000002600000000000007800768437          6642486                                                                            
0000002096 02 20260226COB  09:42:57TN0007630015SOTIPAPIER        000076900000018MAC       00100000024TUN VAL   00100000003500000000260000000000009100038856           6642486                                                                            
0000002097 02 20260226COB  09:47:40TN0007630015SOTIPAPIER        000128100000018MAC       00100000024TUN VAL   00100000044000000000260000000000114400061865           6642486                                                                            
0000002098 02 20260226COB  09:47:40TN0007630015SOTIPAPIER        000153700000018MAC       00100000024TUN VAL   00100000015000000000260000000000039000061865           6642487                                                                            
0000002099 02 20260226COB  09:48:45TN0007630015SOTIPAPIER        000179300000018MAC       00100000024TUN VAL   00100000050000000000260000000000130000061865           6642486                                                                            
0000002100 02 20260226COB  10:40:12TN0007630015SOTIPAPIER        000358500000018MAC       00100000024TUN VAL   00100000000300000000260000000000000780038856           6642486                                                                            
0000002101 02 20260226COB  11:30:17TN0007630015SOTIPAPIER        000716900000018MAC       00100000024TUN VAL   00100000004700000000260000000000012220063346           6642486                                                                            
0000002102 02 20260226COB  11:46:56TN0007630015SOTIPAPIER        000844900000018MAC       00100000024TUN VAL   00100000000200000000260000000000000520038856           6642486                                                                            
0000002103 02 20260226COB  11:59:48TN0007630015SOTIPAPIER        000896100000018MAC       00100000024TUN VAL   00100000003000000000260000000000007800038856           6642486                                                                            
0000002104 02 20260226COB  10:22:18TN0007630015SOTIPAPIER        000307300000022STB FIN   00100000024TUN VAL   00100000010600000000260000000000027560059758           6642486                                                                            
0000002105 02 20260226COB  10:22:18TN0007630015SOTIPAPIER        000332900000022STB FIN   00100000024TUN VAL   00100000009400000000260000000000024440059758           6642486                                                                            
0000002106 02 20260226COB  09:40:39TN0007630015SOTIPAPIER        000051300000024TUN VAL   00100000024TUN VAL   0010000029250000000026000000000076050002884554         6642482                                                                            
0000002107 02 20260226COB  09:46:21TN0007630015SOTIPAPIER        000102500000024TUN VAL   00100000024TUN VAL   0010000000250000000026000000000000650002884893         6642486                                                                            
0000002108 02 20260226COB  09:52:48TN0007630015SOTIPAPIER        000204900000024TUN VAL   00100000024TUN VAL   0010000000250000000026000000000000650002884929         6642486                                                                            
0000002109 02 20260226COB  10:16:27TN0007630015SOTIPAPIER        000230500000024TUN VAL   00100000024TUN VAL   0010000002390000000026000000000006214002885018         6642486                                                                            
0000002110 02 20260226COB  10:18:04TN0007630015SOTIPAPIER        000256100000024TUN VAL   00100000024TUN VAL   0010000001000000000026000000000002600002885024         6642486                                                                            
0000002111 02 20260226COB  10:41:42TN0007630015SOTIPAPIER        000409700000024TUN VAL   00100000024TUN VAL   0010000001000000000026000000000002600002885090         6642486                                                                            
0000002112 02 20260226COB  10:51:34TN0007630015SOTIPAPIER        000486500000024TUN VAL   00100000024TUN VAL   0010000000250000000026000000000000650002885129         6642486                                                                            
0000002113 02 20260226COB  11:01:23TN0007630015SOTIPAPIER        000512100000024TUN VAL   00100000024TUN VAL   0010000000250000000026000000000000650002885156         6642486                                                                            
0000002114 02 20260226COB  11:04:31TN0007630015SOTIPAPIER        000588900000024TUN VAL   00100000024TUN VAL   0010000000250000000026000000000000650002885167         6642486                                                                            
0000002115 02 20260226COB  11:13:49TN0007630015SOTIPAPIER        000665700000024TUN VAL   00100000024TUN VAL   0010000000250000000026000000000000650002885200         6642486                                                                            
0000002116 02 20260226COB  11:57:11TN0007630015SOTIPAPIER        000870500000024TUN VAL   00100000024TUN VAL   0010000000500000000026000000000001300002885369         6642486                                                                            
0000002117 02 20260226COB  12:05:05TN0007630015SOTIPAPIER        000921700000024TUN VAL   00100000024TUN VAL   0010000000250000000026000000000000650002885412         6642486                                                                            
0000002118 02 20260226COB  10:40:54TN0007630015SOTIPAPIER        000384100000048BMCE      00100000024TUN VAL   001000000380000000002600000000000988000OR18-0292944    6642486                                                                            
0000002119 02 20260226COB  11:04:14TN0007630015SOTIPAPIER        000563300000015AMEN INV  00100000027MAXULA    001000000250000000002600000000000650000768386          O000966305                                                                         
0000002120 02 20260226COB  09:16:17TN0007630015SOTIPAPIER        000025700000024TUN VAL   00100000035ATTIJARI I0010000000750000000026000000000001950002884554         000238                                                                             
0000002121 02 20260226COB  10:02:59TN0007650013TAWASOL GP HOLDING000358500000024TUN VAL   00100000015AMEN INV  0010000005000000000007800000000003900002884939         768268                                                                             
0000002122 02 20260226COB  10:05:38TN0007650013TAWASOL GP HOLDING000384100000024TUN VAL   00100000015AMEN INV  0020000009680000000007800000000007550402884939         768274                                                                             
0000002123 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000076900000024TUN VAL   00100000018MAC       0010000000010000000007800000000000007802884892         827                                                                                
0000002124 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000256100000014BNAC      00100000024TUN VAL   001000000500000000000780000000000390000162039          6642536                                                                            
0000002125 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000204900000018MAC       00100000024TUN VAL   00100000100000000000078000000000078000063596           6642536                                                                            
0000002126 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000307300000024TUN VAL   00100000024TUN VAL   0010000001300000000007800000000001014002884435         6642536                                                                            
0000002127 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000102500000024TUN VAL   00100000024TUN VAL   0010000010000000000007800000000007800002884892         6642214                                                                            
0000002128 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000128100000024TUN VAL   00100000024TUN VAL   0010000007800000000007800000000006084002884892         6642536                                                                            
0000002129 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000281700000024TUN VAL   00100000024TUN VAL   0010000000120000000007800000000000093602884910         6642536                                                                            
0000002130 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000332900000024TUN VAL   00100000024TUN VAL   0010000007780000000007800000000006068402884939         6642536                                                                            
0000002131 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000230500000024TUN VAL   00100000024TUN VAL   0010000010000000000007800000000007800002884947         6642536                                                                            
0000002132 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000153700000024TUN VAL   00100000024TUN VAL   0010000005000000000007800000000003900002884954         6642536                                                                            
0000002133 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000179300000024TUN VAL   00100000024TUN VAL   0010000003000000000007800000000002340002884958         6642536                                                                            
0000002134 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000025700000024TUN VAL   00100000048BMCE      0010000010250000000007800000000007995002884777         OR18-0292900                                                                       
0000002135 02 20260226COB  10:00:18TN0007650013TAWASOL GP HOLDING000051300000024TUN VAL   00100000048BMCE      0010000006190000000007800000000004828202884892         OR18-0292900                                                                       
0000002136 02 20260226COB  09:31:54TN0007670011DELICE HOLDING    000614500000024TUN VAL   00100000007UNION CAP 0010000000740000000158500000000011729002884823         1000106097600                                                                      
0000002137 02 20260226COB  11:57:17TN0007670011DELICE HOLDING    002585700000027MAXULA    00100000014BNAC      001000000001000000015990000000000015990C240966306      162120                                                                             
0000002138 02 20260226COB  10:27:42TN0007670011DELICE HOLDING    001612900000014BNAC      00100000015AMEN INV  009000000100000000015900000000001590000162105          767665                                                                             
0000002139 02 20260226COB  10:28:36TN0007670011DELICE HOLDING    001638500000014BNAC      00100000015AMEN INV  009000000284000000015900000000004515600162107          767665                                                                             
0000002140 02 20260226COB  09:37:07TN0007670011DELICE HOLDING    000793700000024TUN VAL   00100000015AMEN INV  0090000000100000000159000000000001590002884853         767665                                                                             
0000002141 02 20260226COB  10:02:17TN0007670011DELICE HOLDING    001126500000024TUN VAL   00100000015AMEN INV  0090000000030000000159000000000000477002884969         767665                                                                             
0000002142 02 20260226COB  10:02:17TN0007670011DELICE HOLDING    001152100000024TUN VAL   00100000015AMEN INV  0090000001000000000159000000000015900002884971         767665                                                                             
0000002143 02 20260226COB  10:08:55TN0007670011DELICE HOLDING    001331300000024TUN VAL   00100000015AMEN INV  0090000000030000000159000000000000477002884992         767665                                                                             
0000002144 02 20260226COB  10:20:47TN0007670011DELICE HOLDING    001536100000024TUN VAL   01300000015AMEN INV  0090000000700000000158100000000011067002884634         768305                                                                             
0000002145 02 20260226COB  11:53:36TN0007670011DELICE HOLDING    002432100000024TUN VAL   00100000018MAC       0010000002000000000159000000000031800002885349         54576                                                                              
0000002146 02 20260226COB  11:53:36TN0007670011DELICE HOLDING    002534500000024TUN VAL   00100000018MAC       0010000008000000000159000000000127200002885349         54576                                                                              
0000002147 02 20260226COB  12:05:03TN0007670011DELICE HOLDING    002611300000024TUN VAL   00100000018MAC       0010000001000000000159000000000015900002885349         54275                                                                              
0000002148 02 20260226COB  10:19:29TN0007670011DELICE HOLDING    001484900000007UNION CAP 00100000022STB FIN   00900000001100000001585000000000017435025557           59750                                                                              
0000002149 02 20260226COB  10:19:29TN0007670011DELICE HOLDING    001510500000007UNION CAP 00100000022STB FIN   00900000013900000001585000000000220315025557           59748                                                                              
0000002150 02 20260226COB  10:24:28TN0007670011DELICE HOLDING    001587300000014BNAC      00100000022STB FIN   009000000051000000015850000000000808350162098          59748                                                                              
0000002151 02 20260226COB  11:15:23TN0007670011DELICE HOLDING    001996900000014BNAC      00100000022STB FIN   009000000113000000015850000000001791050162118          59781                                                                              
0000002152 02 20260226COB  11:15:23TN0007670011DELICE HOLDING    002048100000014BNAC      00100000022STB FIN   009000000230000000015850000000003645500162143          59781                                                                              
0000002153 02 20260226COB  11:15:23TN0007670011DELICE HOLDING    002073700000014BNAC      00100000022STB FIN   009000000134000000015850000000002123900162143          59781                                                                              
0000002154 02 20260226COB  11:15:28TN0007670011DELICE HOLDING    002099300000014BNAC      00100000022STB FIN   009000000077000000015850000000001220450162143          59780                                                                              
0000002155 02 20260226COB  11:15:30TN0007670011DELICE HOLDING    002124900000014BNAC      00100000022STB FIN   009000000150000000015850000000002377500162143          59779                                                                              
0000002156 02 20260226COB  11:15:31TN0007670011DELICE HOLDING    002150500000014BNAC      00100000022STB FIN   009000000003000000015850000000000047550162143          59777                                                                              
0000002157 02 20260226COB  11:15:31TN0007670011DELICE HOLDING    002176100000014BNAC      00100000022STB FIN   009000000096000000015850000000001521600162143          59777                                                                              
0000002158 02 20260226COB  09:02:43TN0007670011DELICE HOLDING    000204900000024TUN VAL   00900000022STB FIN   0130000007000000000158500000000110950002884654         59541                                                                              
0000002159 02 20260226COB  09:03:41TN0007670011DELICE HOLDING    000230500000024TUN VAL   00900000022STB FIN   0130000003000000000158500000000047550002884661         59541                                                                              
0000002160 02 20260226COB  09:03:41TN0007670011DELICE HOLDING    000256100000024TUN VAL   00900000022STB FIN   0130000008370000000158500000000132664502884661         59541                                                                              
0000002161 02 20260226COB  09:04:41TN0007670011DELICE HOLDING    000281700000024TUN VAL   00100000022STB FIN   0130000000020000000158500000000000317002884668         59541                                                                              
0000002162 02 20260226COB  09:05:34TN0007670011DELICE HOLDING    000307300000024TUN VAL   00900000022STB FIN   0130000009980000000158500000000158183002884666         59541                                                                              
0000002163 02 20260226COB  09:05:34TN0007670011DELICE HOLDING    000332900000024TUN VAL   00900000022STB FIN   0130000003640000000158500000000057694002884666         59541                                                                              
0000002164 02 20260226COB  09:05:45TN0007670011DELICE HOLDING    000358500000024TUN VAL   00900000022STB FIN   0130000010000000000158500000000158500002884670         59541                                                                              
0000002165 02 20260226COB  09:05:45TN0007670011DELICE HOLDING    000384100000024TUN VAL   00900000022STB FIN   0130000010000000000158500000000158500002884670         59541                                                                              
0000002166 02 20260226COB  09:26:48TN0007670011DELICE HOLDING    000512100000024TUN VAL   00100000022STB FIN   0130000000100000000158500000000001585002884804         59541                                                                              
0000002167 02 20260226COB  09:30:57TN0007670011DELICE HOLDING    000537700000024TUN VAL   00100000022STB FIN   0130000005960000000158500000000094466002884823         59541                                                                              
0000002168 02 20260226COB  09:34:18TN0007670011DELICE HOLDING    000640100000024TUN VAL   00100000022STB FIN   0090000002260000000158500000000035821002884823         59721                                                                              
0000002169 02 20260226COB  09:34:18TN0007670011DELICE HOLDING    000691300000024TUN VAL   00100000022STB FIN   0090000003970000000158500000000062924502884823         59721                                                                              
0000002170 02 20260226COB  09:34:20TN0007670011DELICE HOLDING    000716900000024TUN VAL   00100000022STB FIN   0090000000750000000158500000000011887502884823         59720                                                                              
0000002171 02 20260226COB  09:34:21TN0007670011DELICE HOLDING    000742500000024TUN VAL   00100000022STB FIN   0090000002250000000158500000000035662502884823         59719                                                                              
0000002172 02 20260226COB  09:34:21TN0007670011DELICE HOLDING    000768100000024TUN VAL   00100000022STB FIN   0090000005050000000158500000000080042502884823         59719                                                                              
0000002173 02 20260226COB  09:38:18TN0007670011DELICE HOLDING    000819300000024TUN VAL   00100000022STB FIN   0090000003000000000158500000000047550002884823         59728                                                                              
0000002174 02 20260226COB  09:38:18TN0007670011DELICE HOLDING    000870500000024TUN VAL   00100000022STB FIN   0090000000200000000158500000000003170002884823         59728                                                                              
0000002175 02 20260226COB  09:38:23TN0007670011DELICE HOLDING    000896100000024TUN VAL   00100000022STB FIN   0090000002380000000158500000000037723002884823         59727                                                                              
0000002176 02 20260226COB  09:38:18TN0007670011DELICE HOLDING    000844900000024TUN VAL   00100000022STB FIN   0090000005000000000158500000000079250002884845         59728                                                                              
0000002177 02 20260226COB  09:39:25TN0007670011DELICE HOLDING    000921700000024TUN VAL   00100000022STB FIN   0090000003620000000158500000000057377002884860         59727                                                                              
0000002178 02 20260226COB  09:39:25TN0007670011DELICE HOLDING    000947300000024TUN VAL   00100000022STB FIN   0090000001380000000158500000000021873002884860         59726                                                                              
0000002179 02 20260226COB  09:41:10TN0007670011DELICE HOLDING    000972900000024TUN VAL   00100000022STB FIN   0090000001520000000158500000000024092002884866         59726                                                                              
0000002180 02 20260226COB  09:41:10TN0007670011DELICE HOLDING    000998500000024TUN VAL   00100000022STB FIN   0090000001940000000158500000000030749002884866         59725                                                                              
0000002181 02 20260226COB  09:41:10TN0007670011DELICE HOLDING    001024100000024TUN VAL   00100000022STB FIN   0090000003020000000158500000000047867002884866         59724                                                                              
0000002182 02 20260226COB  09:41:10TN0007670011DELICE HOLDING    001049700000024TUN VAL   00100000022STB FIN   0090000003520000000158500000000055792002884866         59723                                                                              
0000002183 02 20260226COB  09:45:05TN0007670011DELICE HOLDING    001075300000024TUN VAL   00100000022STB FIN   0090000000670000000158500000000010619502884885         59723                                                                              
0000002184 02 20260226COB  10:14:51TN0007670011DELICE HOLDING    001382500000024TUN VAL   00100000022STB FIN   0090000000100000000158500000000001585002884991         59752                                                                              
0000002185 02 20260226COB  10:15:32TN0007670011DELICE HOLDING    001459300000024TUN VAL   00100000022STB FIN   0090000000100000000158500000000001585002885015         59750                                                                              
0000002186 02 20260226COB  10:23:43TN0007670011DELICE HOLDING    001561700000024TUN VAL   00100000022STB FIN   0090000001000000000158500000000015850002885045         59748                                                                              
0000002187 02 20260226COB  11:15:23TN0007670011DELICE HOLDING    002022500000024TUN VAL   00100000022STB FIN   0090000000730000000158500000000011570502885179         59781                                                                              
0000002188 02 20260226COB  11:18:28TN0007670011DELICE HOLDING    002201700000024TUN VAL   00100000022STB FIN   0090000001610000000158500000000025518502885225         59777                                                                              
0000002189 02 20260226COB  12:05:27TN0007670011DELICE HOLDING    002662500000024TUN VAL   00100000022STB FIN   0090000001990000000159000000000031641002885349         59810                                                                              
0000002190 02 20260226COB  12:05:51TN0007670011DELICE HOLDING    002688100000024TUN VAL   00100000022STB FIN   0090000000440000000159000000000006996002885349         59809                                                                              
